target,method,coord_type,n_groups,n_features,c_index,log_likelihood,aic,groups
depression,hybrid,polar,3,6,0.665285286391847,-1193.1021871061425,2398.204374212285,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['walk', 'hrv', 'stick_sensor']""]"
depression,hybrid,spherical,3,9,0.6942521595856123,-1190.076532861472,2398.153065722944,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['walk', 'hrv', 'stick_sensor']""]"
depression,hybrid,cylindrical,3,9,0.6872588396932099,-1190.6209984838356,2399.241996967671,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['skin_temperature', 'body_temperature', 'blood_sugar']"", ""['walk', 'hrv', 'stick_sensor']""]"
stress,sequential,polar,5,10,0.6587460697872187,-2246.092153258215,4512.18430651643,"[""['total_sleep', 'walk']"", ""['stick_sensor', 'oxygen_saturation']"", ""['heart_beat', 'hrv']"", ""['rem_sleep', 'light_sleep']"", ""['skin_temperature', 'blood_sugar']""]"
stress,sequential,spherical,3,9,0.6350480782582393,-2249.8785407888236,4517.757081577647,"[""['total_sleep', 'walk', 'stick_sensor']"", ""['oxygen_saturation', 'heart_beat', 'hrv']"", ""['rem_sleep', 'light_sleep', 'skin_temperature']""]"
stress,sequential,cylindrical,3,9,0.6527774754617367,-2243.9663950071836,4505.932790014367,"[""['total_sleep', 'walk', 'stick_sensor']"", ""['oxygen_saturation', 'heart_beat', 'hrv']"", ""['rem_sleep', 'light_sleep', 'skin_temperature']""]"
stress,pca,polar,3,6,0.6463878070144494,-2248.132358964722,4508.264717929444,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['blood_sugar', 'skin_temperature', 'walk']"", ""['oxygen_saturation', 'hrv', 'heart_beat']""]"
stress,pca,spherical,3,9,0.6340036493090556,-2249.800902450768,4517.601804901536,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['blood_sugar', 'skin_temperature', 'walk']"", ""['oxygen_saturation', 'hrv', 'heart_beat']""]"
stress,pca,cylindrical,3,9,0.667570237190077,-2242.64288454938,4503.28576909876,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['blood_sugar', 'skin_temperature', 'walk']"", ""['oxygen_saturation', 'hrv', 'heart_beat']""]"
stress,correlation,polar,3,6,0.6556555658718298,-2246.8815605347004,4505.763121069401,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['blood_sugar', 'skin_temperature', 'walk']"", ""['heart_beat', 'hrv', 'stick_sensor']""]"
stress,correlation,spherical,3,9,0.6184167763135674,-2253.0339582912147,4524.0679165824295,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['blood_sugar', 'skin_temperature', 'walk']"", ""['heart_beat', 'hrv', 'stick_sensor']""]"
stress,correlation,cylindrical,3,9,0.6513063430575685,-2246.253419219542,4510.506838439084,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['blood_sugar', 'skin_temperature', 'walk']"", ""['heart_beat', 'hrv', 'stick_sensor']""]"
stress,hybrid,polar,3,6,0.6463878070144494,-2248.132358964722,4508.264717929444,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['blood_sugar', 'skin_temperature', 'walk']"", ""['oxygen_saturation', 'hrv', 'heart_beat']""]"
stress,hybrid,spherical,3,9,0.6340036493090556,-2249.800902450768,4517.601804901536,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['blood_sugar', 'skin_temperature', 'walk']"", ""['oxygen_saturation', 'hrv', 'heart_beat']""]"
stress,hybrid,cylindrical,3,9,0.667570237190077,-2242.64288454938,4503.28576909876,"[""['total_sleep', 'light_sleep', 'rem_sleep']"", ""['blood_sugar', 'skin_temperature', 'walk']"", ""['oxygen_saturation', 'hrv', 'heart_beat']""]"
