feature,importance
skin_temperature,0.1528577727763523
body_temperature,0.14631796250927603
total_sleep,0.1445610691175498
blood_sugar,0.14300921290427485
light_sleep,0.13968395062069625
walk,0.1306559485498315
deep_sleep,0.1166226005226224
rem_sleep,0.11397477605907717
heart_beat,0.10561710099430105
stick_sensor,0.0971909502122446
hrv,0.08847628311498325
oxygen_saturation,0.08134931032621776
screen_time,0.0672794855257898
moving_distance,0.032602753015657376
lux_sensor,0.009506487080454006
wakeup_time,1.2705716403426629e-17
blood_pressure,1.2855061109261925e-18
bed_time,0.0
