level,level_name,n_samples,percentage,target_mean,target_std,target_min,target_max,total_sleep_mean,walk_mean,stick_sensor_mean,oxygen_saturation_mean,heart_beat_mean,hrv_mean,rem_sleep_mean,light_sleep_mean,skin_temperature_mean,blood_sugar_mean
0,낮은 활동,10480,71.37992099169051,2.9541030534351145,1.140435841529931,1.0,6.0,380.09562825236355,4398.2674585119,10.297844939380331,97.3515836519641,80.42039640179206,25.987419021197525,114.67147786065351,181.30397375190918,27.791122827561416,45.73720982465148
1,중간 활동,1091,7.430867729192209,2.9770852428964254,1.1716948952647048,1.0,6.0,118.65536205316224,5225.379178762224,11.314724925864022,97.4588420947029,79.0460078656083,22.821716744677456,38.349619246802575,60.78551787351054,29.078013131147987,56.619497801694614
2,높은 활동,3111,21.189211279117288,2.96046287367406,1.1247203201422151,1.0,6.0,481.2189136982549,5785.565407257246,12.871203615255167,97.47652032133766,72.38820512933671,23.341612201371056,147.32548623003836,226.1965695741397,31.57598930817561,75.08423180999522
