feature,importance
skin_temperature,0.1546840601653943
body_temperature,0.14744452767782812
total_sleep,0.14594920878118212
blood_sugar,0.141881447118434
light_sleep,0.13987730074188978
walk,0.13288803638222577
deep_sleep,0.11681471871744621
rem_sleep,0.11661203929901802
heart_beat,0.11036321138887695
stick_sensor,0.09814193897736874
hrv,0.08930423636766614
oxygen_saturation,0.07911716226465453
screen_time,0.07534194352095505
moving_distance,0.03216958704729359
lux_sensor,0.009597793733253281
bed_time,1.2355106804836882e-17
wakeup_time,1.2223046765412233e-17
blood_pressure,2.5591061279888156e-18
