feature,importance
total_sleep,0.1443501908456854
skin_temperature,0.14424074366869094
light_sleep,0.13948168258614596
blood_sugar,0.13752273364967937
body_temperature,0.1362320596900795
walk,0.12274251054260746
rem_sleep,0.1150068307598488
heart_beat,0.11060504558156656
deep_sleep,0.10835833238190173
stick_sensor,0.08945117210484432
hrv,0.08439684502030986
oxygen_saturation,0.08251221948876009
screen_time,0.06859727127327077
moving_distance,0.01913762667507536
lux_sensor,0.0032706894482097885
bed_time,2.2724772072459884e-18
wakeup_time,9.328444741984823e-22
blood_pressure,0.0
