feature,importance
skin_temperature,0.1517566215333003
body_temperature,0.1459837839832602
total_sleep,0.1449614088170929
blood_sugar,0.14459291330976393
light_sleep,0.13959658155277285
walk,0.13552036170306922
deep_sleep,0.11585271988995048
rem_sleep,0.11481569393679791
heart_beat,0.11001767037426993
stick_sensor,0.10125736109885287
hrv,0.08880203651225331
oxygen_saturation,0.07914015624400801
screen_time,0.07442934736339274
moving_distance,0.03198338848737077
lux_sensor,0.008240068642215109
wakeup_time,2.13389482298082e-18
bed_time,5.308234340186565e-19
blood_pressure,0.0
