feature,importance
skin_temperature,0.1516401310725773
body_temperature,0.14582733232932255
total_sleep,0.1450126027585641
blood_sugar,0.1446999587982319
light_sleep,0.1396719733700727
walk,0.1354567806108021
deep_sleep,0.11558473273075169
rem_sleep,0.1145805200599945
stick_sensor,0.1009008390799615
hrv,0.08861909534332078
