level,level_name,n_samples,percentage,target_mean,target_std,target_min,target_max,stick_sensor_mean,heart_beat_mean,total_sleep_mean,rem_sleep_mean,body_temperature_mean,walk_mean,skin_temperature_mean,oxygen_saturation_mean,deep_sleep_mean,hrv_mean
0,낮은 활동,974,7.536949624700147,3.986652977412731,2.202219400159814,1.0,10.0,11.260612948546767,79.63928961802806,119.66016427104722,39.33963039014374,35.252367071613484,5123.6970672894095,28.842440874967185,97.46327081446418,17.485274164626993,22.58935183032892
1,중간 활동,11835,91.5809022672754,3.906632868610055,2.0873244152385806,1.0,10.0,10.986186120274315,78.63721953778592,404.4841427771392,122.52547528517113,35.21971933179307,4719.290339944729,28.675734619000846,97.43295188662564,77.52236715540766,23.537529412743858
2,높은 활동,114,0.8821481080244525,3.4649122807017543,2.057491489939942,1.0,10.0,9.822535966401572,75.27998389062681,382.8260465116279,116.20000000000005,35.61503841186993,8270.901051973966,28.688411010078305,93.87797686131938,72.95712954333646,197.5254385964912
