feature,importance
skin_temperature,0.15171258115236433
body_temperature,0.14589020493020108
total_sleep,0.14510942639351
blood_sugar,0.14444940279463636
light_sleep,0.13955662812525382
walk,0.13508892720456014
deep_sleep,0.11589267755642532
rem_sleep,0.11476046216375554
heart_beat,0.10987825112183373
stick_sensor,0.10100004627042947
hrv,0.08855745732830414
oxygen_saturation,0.07900674779255494
screen_time,0.07421726904656784
moving_distance,0.03393334935914758
lux_sensor,0.008136785132707523
wakeup_time,1.0283657949113081e-17
bed_time,5.313871002704207e-19
blood_pressure,0.0
