level,level_name,n_samples,percentage,target_mean,target_std,target_min,target_max,stick_sensor_mean,heart_beat_mean,total_sleep_mean,rem_sleep_mean,body_temperature_mean,walk_mean,skin_temperature_mean,oxygen_saturation_mean,deep_sleep_mean,hrv_mean
0,낮은 활동,3292,24.379767459083165,4.847509113001215,2.061899126562966,1.0,10.0,9.743983446404982,83.24832927218596,382.2642247341804,116.15349468907147,33.76169045649196,3801.191121527893,24.372664915620128,97.41803969174953,73.06946995088086,23.40063109215257
1,중간 활동,988,7.316892542397986,4.819838056680162,2.1142473167541915,1.0,10.0,11.192352031174874,79.69413819448964,117.6751012145749,37.88967611336032,35.369716187023066,5165.025211171556,28.993784071285667,97.46564658499265,17.0595033013613,22.516228745514027
2,높은 활동,9223,68.30333999851885,4.751057139759298,2.024530414637577,1.0,10.0,11.341148558197075,76.91320889822562,411.2029105925208,123.98572188617632,35.73256572864534,5029.992213708382,30.207964371936708,97.39087797168413,78.91632323723327,26.028758771478582
