,PHQ9_Score,GAD7_Score,ISI_Score,PSS_score,Loneliness_Score,WHOQOL_Score
PHQ9_Score,1.0,0.8384488517511438,0.6456765034749865,0.6402567565766661,0.45899329329220906,-0.5520473069583948
GAD7_Score,0.8384488517511438,1.0,0.5947908594038873,0.6757700269662694,0.46494716846802975,-0.536611328915445
ISI_Score,0.6456765034749865,0.5947908594038873,1.0,0.4688929829907725,0.3960829277715359,-0.4651789763033186
PSS_score,0.6402567565766661,0.6757700269662694,0.4688929829907725,1.0,0.5272764154112849,-0.628342756156205
Loneliness_Score,0.45899329329220906,0.46494716846802975,0.3960829277715359,0.5272764154112849,1.0,-0.5800836778971189
WHOQOL_Score,-0.5520473069583948,-0.536611328915445,-0.4651789763033186,-0.628342756156205,-0.5800836778971189,1.0
