target,threshold,precision,recall,f1_score
stress,0.2,0.17846153846153845,0.8693790149892934,0.2961342086068563
stress,0.3,0.18276619099890232,0.7130620985010707,0.290956749672346
stress,0.4,0.19206349206349208,0.5182012847965739,0.28025477707006374
stress,0.5,0.21032504780114722,0.23554603854389722,0.2222222222222222
stress,0.6,0.26153846153846155,0.0728051391862955,0.11390284757118928
stress,0.7,0.3181818181818182,0.014989293361884369,0.02862985685071575
