target,method,accuracy,precision,recall,f1_score,roc_auc
anxiety,SMOTE,0.8443747549980399,0.1326530612244898,0.10276679841897234,0.11581291759465479,0.555917329728205
depression,SMOTE,0.8529980657640233,0.16083916083916083,0.0812720848056537,0.107981220657277,0.5541816457036899
stress,SMOTE,0.7578674564975935,0.21406727828746178,0.14989293361884368,0.17632241813602015,0.5484463393266225
